"Date","Promotion","Event","EventName","EventType","Location","CityTown","StateProvince","Country"
2022-01-24,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1496","Televised","Toledo, Ohio, USA","Toledo","Ohio","USA"
2022-01-24,"WWE","WWE Main Event","WWE Main Event #487","Televised","Toledo, Ohio, USA","Toledo","Ohio","USA"
2022-01-23,"WWE","WWE Live Supershow","WWE Live Supershow","Non-Televised","Huntington, West Virginia, USA","Huntington","West Virginia","USA"
2022-01-22,"WWE","WWE Live Supershow","WWE Live Supershow","Non-Televised","Corbin, Kentucky, USA","Corbin","Kentucky","USA"
2022-01-21,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1170","Televised","Nashville, Tennessee, USA","Nashville","Tennessee","USA"
2022-01-18,"WWE","WWE NXT","WWE NXT 2.0 #612","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2022-01-18,"WWE","WWE 205 Live","WWE 205 Live #267","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2022-01-17,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1495","Televised","Tulsa, Oklahoma, USA","Tulsa","Oklahoma","USA"
2022-01-17,"WWE","WWE Main Event","WWE Main Event #486","Televised","Tulsa, Oklahoma, USA","Tulsa","Oklahoma","USA"
2022-01-16,"WWE","WWE Live Supershow","WWE Live Supershow","Non-Televised","Sioux Falls, South Dakota, USA","Sioux Falls","South Dakota","USA"
2022-01-15,"WWE","WWE Live Supershow","WWE Live Supershow","Non-Televised","Fargo, North Dakota, USA","Fargo","North Dakota","USA"
2022-01-14,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1169","Televised","Omaha, Nebraska, USA","Omaha","Nebraska","USA"
